Time,STFT,LTFT,Pressure
55441.870103,18.75,-6.25,93.0
55442.578103,11.71875,-6.25,93.0
55443.249103,9.375,-6.25,90.0
55443.938103,12.5,-5.46875,82.0
55444.613103,1.5625,-3.90625,69.0
55445.290103,3.90625,-3.90625,56.0
55445.988103,3.90625,-3.90625,51.0
55446.672103,3.90625,-3.90625,52.0
55447.341103,9.375,-3.125,50.0
55448.041103,8.59375,-3.125,48.0
55448.744103,3.90625,-2.34375,42.0
55449.402103,4.6875,-2.34375,40.0
55450.111103,5.46875,-2.34375,39.0
55450.783103,2.34375,-2.34375,40.0
55451.487103,0.0,-2.34375,40.0
55452.192103,-3.125,-2.34375,40.0
55452.885103,-3.90625,-2.34375,40.0
55453.609103,-3.90625,-2.34375,41.0
55454.269103,-2.34375,3.90625,39.0
55454.981103,0.0,99.21875,21.0
55455.653103,0.0,99.21875,22.0
55456.368103,0.0,99.21875,21.0
55457.047103,0.0,99.21875,21.0
55457.732103,0.0,99.21875,21.0
55458.422103,0.0,99.21875,21.0
55459.112103,0.0,99.21875,20.0
55459.807103,0.0,99.21875,21.0
55460.471103,0.0,99.21875,19.0
55461.147103,0.0,99.21875,20.0
55461.847103,0.0,99.21875,21.0
55462.546103,0.0,99.21875,22.0
55463.231103,0.0,99.21875,22.0
55463.925103,0.0,99.21875,23.0
55464.630103,0.0,99.21875,23.0
55465.316103,0.0,99.21875,23.0
55466.006103,0.0,99.21875,23.0
55466.717103,1.5625,-2.34375,27.0
55467.402103,0.0,-2.34375,58.0
55468.097103,0.0,-3.90625,62.0
55468.785103,0.0,-3.90625,63.0
55469.473103,-5.46875,-3.90625,63.0
55470.146103,0.0,-3.125,61.0
55470.831103,-7.03125,-2.34375,50.0
55471.511103,-3.90625,-2.34375,44.0
55472.263103,-5.46875,-2.34375,40.0
55472.931103,-3.90625,-2.34375,41.0
55473.627103,-2.34375,-2.34375,41.0
55474.325103,-5.46875,-2.34375,43.0
55474.991103,0.0,-2.34375,43.0
55475.684103,0.0,-2.34375,42.0
55476.408103,-3.90625,-2.34375,43.0
55477.134103,0.0,-2.34375,44.0
55477.830103,2.34375,-2.34375,43.0
55478.509103,-2.34375,-2.34375,43.0
55479.192103,4.6875,-2.34375,43.0
55479.893103,1.5625,-2.34375,42.0
55480.574103,0.0,-2.34375,42.0
55481.240103,5.46875,-2.34375,42.0
55481.952103,1.5625,-2.34375,41.0
55482.649103,5.46875,-2.34375,41.0
55483.352103,-2.34375,0.0,40.0
55484.020103,2.34375,0.0,39.0
55484.711103,4.6875,0.0,38.0
55485.383103,0.78125,0.0,38.0
55486.080103,8.59375,0.0,37.0
55486.749103,3.90625,0.0,37.0
55487.444103,1.5625,0.0,37.0
